disease,description,precaution_1,precaution_2,precaution_3,precaution_4,drug
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,epinephrine
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,chlorpheniramine
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,promethazine
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,triamcinolone
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,cyproheptadine
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid yang kurang aktif atau tiroid rendah, adalah kelainan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.",mengurangi stres,latihan,makan sehat,tidur nyenyak,levothyroxine
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid yang kurang aktif atau tiroid rendah, adalah kelainan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.",mengurangi stres,latihan,makan sehat,tidur nyenyak,thyroid desiccated
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid yang kurang aktif atau tiroid rendah, adalah kelainan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.",mengurangi stres,latihan,makan sehat,tidur nyenyak,liothyronine
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid yang kurang aktif atau tiroid rendah, adalah kelainan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.",mengurangi stres,latihan,makan sehat,tidur nyenyak,liotrix
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,clobetasol
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,methotrexate
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,triamcinolone
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,fluocinonide
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,calcipotriene
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,mometasone
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,desonide
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,prednisone
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,acitretin
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,cyclosporine
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,hydrocortisone
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,ustekinumab
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,adalimumab
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam,betamethasone / calcipotriene
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,omeprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,pantoprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,ranitidine
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,famotidine
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,lansoprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,esomeprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,rabeprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,sucralfate
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,dexlansoprazole
GERD (refluks asam lambung),"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus (LES) yang lebih rendah, cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan,omeprazole / sodium bicarbonate
Kolestasis kronis,"Penyakit kolestatik kronis, apakah terjadi pada masa bayi, masa kanak -kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus dalam kebanyakan kasus",mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat,ursodiol
Kolestasis kronis,"Penyakit kolestatik kronis, apakah terjadi pada masa bayi, masa kanak -kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus dalam kebanyakan kasus",mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat,colchicine
Kolestasis kronis,"Penyakit kolestatik kronis, apakah terjadi pada masa bayi, masa kanak -kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus dalam kebanyakan kasus",mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat,azathioprine
Kolestasis kronis,"Penyakit kolestatik kronis, apakah terjadi pada masa bayi, masa kanak -kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus dalam kebanyakan kasus",mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat,obeticholic acid
Hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan hati Anda untuk berfungsi.,Konsultasikan dengan rumah sakit terdekat,Cuci tangan melalui,Hindari makanan pedas berlemak,pengobatan,immune globulin intramuscular
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,meloxicam
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,diclofenac
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,naproxen
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,ibuprofen
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,celecoxib
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,chondroitin / glucosamine
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,etodolac
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,prednisone
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,aspirin
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,nabumetone
Osteoartritis,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam,duloxetine
Vertigo posisi paroksismal,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum - sensasi tiba -tiba yang Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.,berbaring,Hindari perubahan tubuh yang tiba -tiba,Hindari pergerakan kepala yang tiba -tiba,santai,meclizine
Vertigo posisi paroksismal,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum - sensasi tiba -tiba yang Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.,berbaring,Hindari perubahan tubuh yang tiba -tiba,Hindari pergerakan kepala yang tiba -tiba,santai,promethazine
Hipoglikemia,Hipoglikemia adalah suatu kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari biasanya. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes. Tetapi obat -obatan lain dan berbagai kondisi - banyak yang jarang - dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.,berbaring di samping,Periksa pulsa,Minum minuman manis,Konsultasikan dengan dokter,glucagon
Hipoglikemia,Hipoglikemia adalah suatu kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari biasanya. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes. Tetapi obat -obatan lain dan berbagai kondisi - banyak yang jarang - dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.,berbaring di samping,Periksa pulsa,Minum minuman manis,Konsultasikan dengan dokter,diazoxide
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,doxycycline
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,spironolactone
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,minocycline
